method,seed,precision,recall,f1,fpr,abstentions,tp,fp,fn,tn
ga,0,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
ga,1,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
ga,2,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
ga,3,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
ga,4,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
ga,5,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
ga,6,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
ga,7,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
ga,8,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
ga,9,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
ga,10,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
ga,11,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
ga,12,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
ga,13,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
ga,14,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
ga,15,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
ga,16,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
ga,17,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
ga,18,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
ga,19,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
nsga2,0,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
nsga2,1,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
nsga2,2,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
nsga2,3,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
nsga2,4,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
nsga2,5,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
nsga2,6,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
nsga2,7,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
nsga2,8,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
nsga2,9,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
nsga2,10,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
nsga2,11,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
nsga2,12,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
nsga2,13,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
nsga2,14,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
nsga2,15,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
nsga2,16,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
nsga2,17,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
nsga2,18,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
nsga2,19,0.37662337662337664,0.8055555555555556,0.5132743362831859,0.5714285714285714,14,29,48,7,36
